Best Reward Achieved || Episode: 0 || Reward: -6.600000023841858 || Prev Best: -infTotal pipes ~ 3.399999976158142
Best Reward Achieved || Episode: 1 || Reward: -4.199999988079071 || Prev Best: -6.600000023841858Total pipes ~ 5.800000011920929
Best Reward Achieved || Episode: 10 || Reward: -2.9999999701976776 || Prev Best: -4.199999988079071Total pipes ~ 7.000000029802322
Best Reward Achieved || Episode: 92 || Reward: -0.5999999344348907 || Prev Best: -2.9999999701976776Total pipes ~ 9.40000006556511
Best Reward Achieved || Episode: 273 || Reward: 7.450580596923828e-08 || Prev Best: -0.5999999344348907Total pipes ~ 10.000000074505806
Best Reward Achieved || Episode: 3255 || Reward: 2.600000113248825 || Prev Best: 7.450580596923828e-08Total pipes ~ 12.600000113248825
Best Reward Achieved || Episode: 3258 || Reward: 3.8000001311302185 || Prev Best: 2.600000113248825Total pipes ~ 13.800000131130219
Best Reward Achieved || Episode: 3511 || Reward: 4.6000001430511475 || Prev Best: 3.8000001311302185Total pipes ~ 14.600000143051147
Best Reward Achieved || Episode: 3911 || Reward: 4.80000014603138 || Prev Best: 4.6000001430511475Total pipes ~ 14.80000014603138
Best Reward Achieved || Episode: 4473 || Reward: 5.000000149011612 || Prev Best: 4.80000014603138Total pipes ~ 15.000000149011612
Best Reward Achieved || Episode: 6903 || Reward: 6.300000175833702 || Prev Best: 5.000000149011612Total pipes ~ 16.300000175833702
Best Reward Achieved || Episode: 11028 || Reward: 6.500000178813934 || Prev Best: 6.300000175833702Total pipes ~ 16.500000178813934
Best Reward Achieved || Episode: 13225 || Reward: 7.5000001937150955 || Prev Best: 6.500000178813934Total pipes ~ 17.500000193715096
Best Reward Achieved || Episode: 13449 || Reward: 7.700000196695328 || Prev Best: 7.5000001937150955Total pipes ~ 17.700000196695328
Best Reward Achieved || Episode: 13885 || Reward: 8.500000208616257 || Prev Best: 7.700000196695328Total pipes ~ 18.500000208616257
Best Reward Achieved || Episode: 14269 || Reward: 9.100000217556953 || Prev Best: 8.500000208616257Total pipes ~ 19.100000217556953
Best Reward Achieved || Episode: 15330 || Reward: 10.700000241398811 || Prev Best: 9.100000217556953Total pipes ~ 20.70000024139881
Best Reward Achieved || Episode: 15628 || Reward: 10.800000250339508 || Prev Best: 10.700000241398811Total pipes ~ 20.800000250339508
Best Reward Achieved || Episode: 15829 || Reward: 11.80000026524067 || Prev Best: 10.800000250339508Total pipes ~ 21.80000026524067
Best Reward Achieved || Episode: 18629 || Reward: 12.60000029206276 || Prev Best: 11.80000026524067Total pipes ~ 22.60000029206276
Best Reward Achieved || Episode: 20710 || Reward: 13.500000298023224 || Prev Best: 12.60000029206276Total pipes ~ 23.500000298023224
